"tick","run","Ant Count","Tip Count"
1.0,1,2000,0
2.0,1,2000,0
3.0,1,2000,0
4.0,1,2000,0
5.0,1,2000,0
6.0,1,2000,0
7.0,1,2000,0
8.0,1,2000,0
9.0,1,2000,0
10.0,1,2000,0
11.0,1,2000,0
12.0,1,2000,0
13.0,1,2000,0
14.0,1,2000,0
15.0,1,2000,0
16.0,1,2000,0
17.0,1,2000,0
18.0,1,2000,0
19.0,1,2000,0
20.0,1,2000,0
21.0,1,2000,0
22.0,1,2000,0
23.0,1,2000,0
24.0,1,2000,0
25.0,1,2000,0
26.0,1,2000,0
27.0,1,2000,0
28.0,1,2000,0
29.0,1,2000,0
30.0,1,2000,0
31.0,1,2000,0
32.0,1,2000,0
33.0,1,2000,0
34.0,1,2000,0
35.0,1,1999,0
36.0,1,1999,0
37.0,1,1996,0
38.0,1,1992,0
39.0,1,1990,0
40.0,1,1986,0
41.0,1,1981,0
42.0,1,1973,0
43.0,1,1967,0
44.0,1,1959,0
45.0,1,1951,0
46.0,1,1937,0
47.0,1,1926,0
48.0,1,1908,0
49.0,1,1900,0
50.0,1,1891,0
51.0,1,1876,0
52.0,1,1858,0
53.0,1,1851,0
54.0,1,1842,0
55.0,1,1835,0
56.0,1,1822,0
57.0,1,1809,0
58.0,1,1798,0
59.0,1,1782,0
60.0,1,1771,0
61.0,1,1754,0
62.0,1,1741,0
63.0,1,1729,0
64.0,1,1721,0
65.0,1,1707,0
66.0,1,1690,0
67.0,1,1665,0
68.0,1,1648,0
69.0,1,1632,0
70.0,1,1611,0
71.0,1,1589,0
72.0,1,1574,0
73.0,1,1557,0
74.0,1,1540,0
75.0,1,1525,0
76.0,1,1509,0
77.0,1,1492,0
78.0,1,1479,0
79.0,1,1463,0
80.0,1,1445,0
81.0,1,1421,0
82.0,1,1404,0
83.0,1,1389,0
84.0,1,1371,0
85.0,1,1348,0
86.0,1,1323,0
87.0,1,1311,0
88.0,1,1292,0
89.0,1,1266,0
90.0,1,1243,0
91.0,1,1231,0
92.0,1,1208,0
93.0,1,1189,0
94.0,1,1173,0
95.0,1,1156,0
96.0,1,1145,0
97.0,1,1127,0
98.0,1,1098,0
99.0,1,1072,0
100.0,1,1048,0
101.0,1,1021,0
102.0,1,990,0
103.0,1,967,0
104.0,1,943,0
105.0,1,918,0
106.0,1,887,0
107.0,1,866,0
108.0,1,840,0
109.0,1,814,0
110.0,1,783,0
111.0,1,761,0
112.0,1,732,0
113.0,1,714,0
114.0,1,688,0
115.0,1,661,0
116.0,1,648,0
117.0,1,627,0
118.0,1,600,0
119.0,1,584,0
120.0,1,564,0
121.0,1,542,0
122.0,1,524,0
123.0,1,504,0
124.0,1,485,0
125.0,1,464,0
126.0,1,437,0
127.0,1,418,0
128.0,1,400,0
129.0,1,386,0
130.0,1,360,0
131.0,1,352,0
132.0,1,333,0
133.0,1,320,0
134.0,1,308,0
135.0,1,288,0
136.0,1,269,0
137.0,1,252,0
138.0,1,237,0
139.0,1,226,0
140.0,1,210,0
141.0,1,193,0
142.0,1,180,0
143.0,1,167,0
144.0,1,157,0
145.0,1,146,0
146.0,1,132,0
147.0,1,127,0
148.0,1,118,0
149.0,1,105,0
150.0,1,95,0
151.0,1,89,0
152.0,1,84,0
153.0,1,76,0
154.0,1,71,0
155.0,1,63,0
156.0,1,57,0
157.0,1,54,0
158.0,1,50,0
159.0,1,48,0
160.0,1,47,0
161.0,1,44,0
162.0,1,39,0
163.0,1,36,0
164.0,1,32,0
165.0,1,31,0
166.0,1,28,0
167.0,1,26,0
168.0,1,23,0
169.0,1,22,0
170.0,1,21,0
171.0,1,20,0
172.0,1,19,0
173.0,1,17,0
174.0,1,17,0
175.0,1,15,0
176.0,1,14,0
177.0,1,14,0
178.0,1,13,0
179.0,1,11,0
180.0,1,8,0
181.0,1,8,0
182.0,1,8,0
183.0,1,7,0
184.0,1,6,0
185.0,1,6,0
186.0,1,5,0
187.0,1,5,0
188.0,1,4,0
189.0,1,2,0
190.0,1,1,0
191.0,1,1,0
192.0,1,0,0
193.0,1,0,0
194.0,1,0,0
195.0,1,0,0
196.0,1,0,0
