"tick","run","Ant Count","Tip Count"
1.0,1,2000,0
2.0,1,2000,0
3.0,1,2000,0
4.0,1,2000,0
5.0,1,2000,0
6.0,1,2000,0
7.0,1,2000,0
8.0,1,2000,0
9.0,1,2000,0
10.0,1,2000,0
11.0,1,2000,0
12.0,1,2000,0
13.0,1,2000,0
14.0,1,2000,0
15.0,1,2000,0
16.0,1,2000,0
17.0,1,2000,0
18.0,1,2000,0
19.0,1,2000,0
20.0,1,2000,0
21.0,1,2000,0
22.0,1,2000,0
23.0,1,2000,0
24.0,1,2000,0
25.0,1,2000,0
26.0,1,2000,0
27.0,1,2000,0
28.0,1,1999,0
29.0,1,1999,0
30.0,1,1997,0
31.0,1,1997,0
32.0,1,1996,0
33.0,1,1995,0
34.0,1,1992,0
35.0,1,1990,0
36.0,1,1990,0
37.0,1,1989,0
38.0,1,1989,0
39.0,1,1988,0
40.0,1,1987,0
41.0,1,1987,0
42.0,1,1984,0
43.0,1,1984,0
44.0,1,1984,0
45.0,1,1984,0
46.0,1,1983,0
47.0,1,1982,0
48.0,1,1981,0
49.0,1,1979,0
50.0,1,1978,0
51.0,1,1978,0
52.0,1,1977,0
53.0,1,1976,0
54.0,1,1976,0
55.0,1,1972,0
56.0,1,1972,0
57.0,1,1972,0
58.0,1,1972,0
59.0,1,1970,0
60.0,1,1969,0
61.0,1,1968,0
62.0,1,1966,0
63.0,1,1963,0
64.0,1,1961,0
65.0,1,1960,0
66.0,1,1958,0
67.0,1,1955,0
68.0,1,1953,0
69.0,1,1951,0
70.0,1,1948,0
71.0,1,1943,0
72.0,1,1939,0
73.0,1,1935,0
74.0,1,1929,0
75.0,1,1924,0
76.0,1,1921,0
77.0,1,1916,0
78.0,1,1911,0
79.0,1,1903,0
80.0,1,1898,0
81.0,1,1891,0
82.0,1,1889,0
83.0,1,1883,0
84.0,1,1876,0
85.0,1,1868,0
86.0,1,1861,0
87.0,1,1856,0
88.0,1,1850,0
89.0,1,1844,0
90.0,1,1832,0
91.0,1,1829,0
92.0,1,1824,0
93.0,1,1819,0
94.0,1,1808,0
95.0,1,1796,0
96.0,1,1792,0
97.0,1,1786,0
98.0,1,1780,0
99.0,1,1764,0
100.0,1,1755,0
101.0,1,1744,0
102.0,1,1728,0
103.0,1,1718,0
104.0,1,1704,0
105.0,1,1694,0
106.0,1,1683,0
107.0,1,1668,0
108.0,1,1659,0
109.0,1,1642,0
110.0,1,1630,0
111.0,1,1616,0
112.0,1,1605,0
113.0,1,1591,0
114.0,1,1577,0
115.0,1,1558,0
116.0,1,1546,0
117.0,1,1522,0
118.0,1,1497,0
119.0,1,1483,0
120.0,1,1473,0
121.0,1,1459,0
122.0,1,1441,0
123.0,1,1415,0
124.0,1,1390,0
125.0,1,1368,0
126.0,1,1350,0
127.0,1,1330,0
128.0,1,1318,0
129.0,1,1296,0
130.0,1,1275,0
131.0,1,1255,0
132.0,1,1229,0
133.0,1,1213,0
134.0,1,1189,0
135.0,1,1164,0
136.0,1,1142,0
137.0,1,1118,0
138.0,1,1093,0
139.0,1,1078,0
140.0,1,1053,0
141.0,1,1026,0
142.0,1,1000,0
143.0,1,964,0
144.0,1,940,0
145.0,1,924,0
146.0,1,901,0
147.0,1,877,0
148.0,1,854,0
149.0,1,828,0
150.0,1,791,0
151.0,1,769,0
152.0,1,740,0
153.0,1,708,0
154.0,1,681,0
155.0,1,665,0
156.0,1,626,0
157.0,1,607,0
158.0,1,581,0
159.0,1,556,0
160.0,1,529,0
161.0,1,504,0
162.0,1,478,0
163.0,1,454,0
164.0,1,428,0
165.0,1,403,0
166.0,1,384,0
167.0,1,354,0
168.0,1,325,0
169.0,1,313,0
170.0,1,294,0
171.0,1,279,0
172.0,1,264,0
173.0,1,254,0
174.0,1,234,0
175.0,1,222,0
176.0,1,199,0
177.0,1,191,0
178.0,1,178,0
179.0,1,162,0
180.0,1,149,0
181.0,1,136,0
182.0,1,125,0
183.0,1,110,0
184.0,1,104,0
185.0,1,96,0
186.0,1,89,0
187.0,1,79,0
188.0,1,70,0
189.0,1,65,0
190.0,1,57,0
191.0,1,55,0
192.0,1,49,0
193.0,1,46,0
194.0,1,43,0
195.0,1,41,0
196.0,1,36,0
197.0,1,31,0
198.0,1,23,0
199.0,1,18,0
200.0,1,15,0
201.0,1,12,0
202.0,1,9,0
203.0,1,9,0
204.0,1,7,0
205.0,1,6,0
206.0,1,6,0
207.0,1,4,0
208.0,1,3,0
209.0,1,2,0
210.0,1,2,0
211.0,1,1,0
212.0,1,1,0
213.0,1,1,0
214.0,1,1,0
215.0,1,1,0
216.0,1,1,0
217.0,1,0,0
218.0,1,0,0
219.0,1,0,0
220.0,1,0,0
221.0,1,0,0
