"tick","run","Ant Count","Tip Count"
1.0,1,2000,0
2.0,1,2000,0
3.0,1,2000,0
4.0,1,2000,0
5.0,1,2000,0
6.0,1,2000,0
7.0,1,2000,0
8.0,1,2000,0
9.0,1,2000,0
10.0,1,2000,0
11.0,1,2000,0
12.0,1,2000,0
13.0,1,2000,0
14.0,1,2000,0
15.0,1,2000,0
16.0,1,2000,0
17.0,1,2000,0
18.0,1,2000,0
19.0,1,2000,0
20.0,1,2000,0
21.0,1,2000,0
22.0,1,2000,0
23.0,1,2000,0
24.0,1,2000,0
25.0,1,2000,0
26.0,1,2000,0
27.0,1,2000,0
28.0,1,2000,0
29.0,1,2000,0
30.0,1,2000,0
31.0,1,1999,0
32.0,1,1998,0
33.0,1,1998,0
34.0,1,1996,0
35.0,1,1992,0
36.0,1,1989,0
37.0,1,1981,0
38.0,1,1975,0
39.0,1,1962,0
40.0,1,1955,0
41.0,1,1947,0
42.0,1,1933,0
43.0,1,1923,0
44.0,1,1907,0
45.0,1,1890,0
46.0,1,1880,0
47.0,1,1870,0
48.0,1,1859,0
49.0,1,1850,0
50.0,1,1839,0
51.0,1,1820,0
52.0,1,1815,0
53.0,1,1799,0
54.0,1,1790,0
55.0,1,1782,0
56.0,1,1771,0
57.0,1,1763,0
58.0,1,1753,0
59.0,1,1745,0
60.0,1,1730,0
61.0,1,1710,0
62.0,1,1697,0
63.0,1,1673,0
64.0,1,1651,0
65.0,1,1639,0
66.0,1,1623,0
67.0,1,1610,0
68.0,1,1588,0
69.0,1,1573,0
70.0,1,1557,0
71.0,1,1541,0
72.0,1,1529,0
73.0,1,1506,0
74.0,1,1497,0
75.0,1,1483,0
76.0,1,1467,0
77.0,1,1452,0
78.0,1,1433,0
79.0,1,1410,0
80.0,1,1387,0
81.0,1,1365,0
82.0,1,1342,0
83.0,1,1322,0
84.0,1,1307,0
85.0,1,1286,0
86.0,1,1261,0
87.0,1,1243,0
88.0,1,1232,0
89.0,1,1207,0
90.0,1,1188,0
91.0,1,1169,0
92.0,1,1152,0
93.0,1,1138,0
94.0,1,1124,0
95.0,1,1106,0
96.0,1,1087,0
97.0,1,1069,0
98.0,1,1044,0
99.0,1,1023,0
100.0,1,1003,0
101.0,1,977,0
102.0,1,957,0
103.0,1,926,0
104.0,1,899,0
105.0,1,878,0
106.0,1,855,0
107.0,1,836,0
108.0,1,813,0
109.0,1,799,0
110.0,1,772,0
111.0,1,745,0
112.0,1,719,0
113.0,1,695,0
114.0,1,673,0
115.0,1,656,0
116.0,1,637,0
117.0,1,615,0
118.0,1,590,0
119.0,1,571,0
120.0,1,548,0
121.0,1,524,0
122.0,1,507,0
123.0,1,486,0
124.0,1,466,0
125.0,1,449,0
126.0,1,430,0
127.0,1,417,0
128.0,1,396,0
129.0,1,373,0
130.0,1,358,0
131.0,1,338,0
132.0,1,320,0
133.0,1,308,0
134.0,1,297,0
135.0,1,276,0
136.0,1,262,0
137.0,1,256,0
138.0,1,241,0
139.0,1,224,0
140.0,1,216,0
141.0,1,207,0
142.0,1,189,0
143.0,1,180,0
144.0,1,172,0
145.0,1,162,0
146.0,1,135,0
147.0,1,123,0
148.0,1,113,0
149.0,1,102,0
150.0,1,97,0
151.0,1,91,0
152.0,1,80,0
153.0,1,65,0
154.0,1,54,0
155.0,1,50,0
156.0,1,45,0
157.0,1,38,0
158.0,1,34,0
159.0,1,29,0
160.0,1,25,0
161.0,1,23,0
162.0,1,19,0
163.0,1,13,0
164.0,1,12,0
165.0,1,11,0
166.0,1,7,0
167.0,1,7,0
168.0,1,6,0
169.0,1,6,0
170.0,1,4,0
171.0,1,4,0
172.0,1,3,0
173.0,1,3,0
174.0,1,1,0
175.0,1,1,0
176.0,1,1,0
177.0,1,1,0
178.0,1,1,0
179.0,1,1,0
180.0,1,1,0
181.0,1,1,0
182.0,1,0,0
183.0,1,0,0
184.0,1,0,0
185.0,1,0,0
186.0,1,0,0
187.0,1,0,0
188.0,1,0,0
189.0,1,0,0
190.0,1,0,0
191.0,1,0,0
192.0,1,0,0
193.0,1,0,0
194.0,1,0,0
195.0,1,0,0
196.0,1,0,0
197.0,1,0,0
198.0,1,0,0
199.0,1,0,0
200.0,1,0,0
201.0,1,0,0
202.0,1,0,0
203.0,1,0,0
204.0,1,0,0
205.0,1,0,0
206.0,1,0,0
207.0,1,0,0
208.0,1,0,0
209.0,1,0,0
210.0,1,0,0
211.0,1,0,0
212.0,1,0,0
213.0,1,0,0
214.0,1,0,0
215.0,1,0,0
216.0,1,0,0
217.0,1,0,0
218.0,1,0,0
219.0,1,0,0
220.0,1,0,0
221.0,1,0,0
222.0,1,0,0
223.0,1,0,0
224.0,1,0,0
225.0,1,0,0
