"tick","run","Ant Count","Tip Count"
1.0,1,2000,0
2.0,1,2000,0
3.0,1,2000,0
4.0,1,2000,0
5.0,1,2000,0
6.0,1,2000,0
7.0,1,2000,0
8.0,1,2000,0
9.0,1,2000,0
10.0,1,2000,0
11.0,1,2000,0
12.0,1,2000,0
13.0,1,2000,0
14.0,1,2000,0
15.0,1,2000,0
16.0,1,2000,0
17.0,1,2000,0
18.0,1,2000,0
19.0,1,2000,0
20.0,1,2000,0
21.0,1,2000,0
22.0,1,2000,0
23.0,1,2000,0
24.0,1,2000,0
25.0,1,2000,0
26.0,1,2000,0
27.0,1,2000,0
28.0,1,2000,0
29.0,1,2000,0
30.0,1,2000,0
31.0,1,1999,0
32.0,1,1997,0
33.0,1,1997,0
34.0,1,1995,0
35.0,1,1995,0
36.0,1,1995,0
37.0,1,1995,0
38.0,1,1995,0
39.0,1,1994,0
40.0,1,1994,0
41.0,1,1994,0
42.0,1,1994,0
43.0,1,1992,0
44.0,1,1992,0
45.0,1,1992,0
46.0,1,1991,0
47.0,1,1991,0
48.0,1,1990,0
49.0,1,1989,0
50.0,1,1988,0
51.0,1,1987,0
52.0,1,1987,0
53.0,1,1982,0
54.0,1,1980,0
55.0,1,1978,0
56.0,1,1975,0
57.0,1,1971,0
58.0,1,1971,0
59.0,1,1970,0
60.0,1,1967,0
61.0,1,1966,0
62.0,1,1965,0
63.0,1,1963,0
64.0,1,1961,0
65.0,1,1958,0
66.0,1,1953,0
67.0,1,1950,0
68.0,1,1948,0
69.0,1,1945,0
70.0,1,1942,0
71.0,1,1939,0
72.0,1,1935,0
73.0,1,1929,0
74.0,1,1929,0
75.0,1,1924,0
76.0,1,1920,0
77.0,1,1918,0
78.0,1,1915,0
79.0,1,1913,0
80.0,1,1909,0
81.0,1,1901,0
82.0,1,1899,0
83.0,1,1894,0
84.0,1,1885,0
85.0,1,1880,0
86.0,1,1874,0
87.0,1,1863,0
88.0,1,1855,0
89.0,1,1845,0
90.0,1,1838,0
91.0,1,1831,0
92.0,1,1826,0
93.0,1,1819,0
94.0,1,1810,0
95.0,1,1801,0
96.0,1,1792,0
97.0,1,1769,0
98.0,1,1754,0
99.0,1,1744,0
100.0,1,1731,0
101.0,1,1721,0
102.0,1,1713,0
103.0,1,1700,0
104.0,1,1686,0
105.0,1,1676,0
106.0,1,1660,0
107.0,1,1647,0
108.0,1,1635,0
109.0,1,1628,0
110.0,1,1612,0
111.0,1,1599,0
112.0,1,1586,0
113.0,1,1560,0
114.0,1,1536,0
115.0,1,1514,0
116.0,1,1505,0
117.0,1,1478,0
118.0,1,1462,0
119.0,1,1436,0
120.0,1,1422,0
121.0,1,1406,0
122.0,1,1386,0
123.0,1,1376,0
124.0,1,1357,0
125.0,1,1348,0
126.0,1,1327,0
127.0,1,1305,0
128.0,1,1279,0
129.0,1,1265,0
130.0,1,1240,0
131.0,1,1220,0
132.0,1,1200,0
133.0,1,1179,0
134.0,1,1164,0
135.0,1,1131,0
136.0,1,1106,0
137.0,1,1080,0
138.0,1,1056,0
139.0,1,1030,0
140.0,1,1000,0
141.0,1,973,0
142.0,1,949,0
143.0,1,914,0
144.0,1,885,0
145.0,1,858,0
146.0,1,829,0
147.0,1,803,0
148.0,1,766,0
149.0,1,743,0
150.0,1,721,0
151.0,1,692,0
152.0,1,658,0
153.0,1,628,0
154.0,1,605,0
155.0,1,576,0
156.0,1,544,0
157.0,1,512,0
158.0,1,485,0
159.0,1,460,0
160.0,1,435,0
161.0,1,409,0
162.0,1,387,0
163.0,1,368,0
164.0,1,342,0
165.0,1,326,0
166.0,1,305,0
167.0,1,280,0
168.0,1,257,0
169.0,1,235,0
170.0,1,225,0
171.0,1,212,0
172.0,1,197,0
173.0,1,182,0
174.0,1,174,0
175.0,1,163,0
176.0,1,146,0
177.0,1,135,0
178.0,1,128,0
179.0,1,115,0
180.0,1,103,0
181.0,1,82,0
182.0,1,75,0
183.0,1,69,0
184.0,1,60,0
185.0,1,53,0
186.0,1,42,0
187.0,1,36,0
188.0,1,31,0
189.0,1,24,0
190.0,1,17,0
191.0,1,14,0
192.0,1,12,0
193.0,1,11,0
194.0,1,10,0
195.0,1,7,0
196.0,1,5,0
197.0,1,4,0
198.0,1,4,0
199.0,1,3,0
200.0,1,2,0
201.0,1,2,0
202.0,1,2,0
203.0,1,2,0
204.0,1,1,0
205.0,1,1,0
206.0,1,1,0
207.0,1,1,0
208.0,1,1,0
209.0,1,0,0
210.0,1,0,0
211.0,1,0,0
212.0,1,0,0
213.0,1,0,0
214.0,1,0,0
215.0,1,0,0
216.0,1,0,0
217.0,1,0,0
218.0,1,0,0
219.0,1,0,0
220.0,1,0,0
221.0,1,0,0
222.0,1,0,0
223.0,1,0,0
224.0,1,0,0
225.0,1,0,0
226.0,1,0,0
227.0,1,0,0
