"tick","run","Ant Count","Tip Count"
1.0,1,2000,0
2.0,1,2000,0
3.0,1,2000,0
4.0,1,2000,0
5.0,1,2000,0
6.0,1,2000,0
7.0,1,2000,0
8.0,1,2000,0
9.0,1,2000,0
10.0,1,2000,0
11.0,1,2000,0
12.0,1,2000,0
13.0,1,2000,0
14.0,1,2000,0
15.0,1,2000,0
16.0,1,2000,0
17.0,1,2000,0
18.0,1,2000,0
19.0,1,2000,0
20.0,1,2000,0
21.0,1,2000,0
22.0,1,2000,0
23.0,1,2000,0
24.0,1,2000,0
25.0,1,2000,0
26.0,1,2000,0
27.0,1,2000,0
28.0,1,2000,0
29.0,1,1999,0
30.0,1,1999,0
31.0,1,1998,0
32.0,1,1996,0
33.0,1,1996,0
34.0,1,1991,0
35.0,1,1990,0
36.0,1,1988,0
37.0,1,1987,0
38.0,1,1987,0
39.0,1,1987,0
40.0,1,1986,0
41.0,1,1986,0
42.0,1,1986,0
43.0,1,1985,0
44.0,1,1985,0
45.0,1,1984,0
46.0,1,1983,0
47.0,1,1981,0
48.0,1,1981,0
49.0,1,1981,0
50.0,1,1981,0
51.0,1,1979,0
52.0,1,1976,0
53.0,1,1976,0
54.0,1,1973,0
55.0,1,1968,0
56.0,1,1965,0
57.0,1,1962,0
58.0,1,1962,0
59.0,1,1959,0
60.0,1,1957,0
61.0,1,1957,0
62.0,1,1956,0
63.0,1,1953,0
64.0,1,1952,0
65.0,1,1951,0
66.0,1,1948,0
67.0,1,1946,0
68.0,1,1944,0
69.0,1,1940,0
70.0,1,1937,0
71.0,1,1932,0
72.0,1,1929,0
73.0,1,1924,0
74.0,1,1917,0
75.0,1,1915,0
76.0,1,1910,0
77.0,1,1905,0
78.0,1,1902,0
79.0,1,1897,0
80.0,1,1894,0
81.0,1,1890,0
82.0,1,1889,0
83.0,1,1881,0
84.0,1,1874,0
85.0,1,1866,0
86.0,1,1858,0
87.0,1,1849,0
88.0,1,1845,0
89.0,1,1841,0
90.0,1,1835,0
91.0,1,1829,0
92.0,1,1824,0
93.0,1,1813,0
94.0,1,1804,0
95.0,1,1787,0
96.0,1,1781,0
97.0,1,1775,0
98.0,1,1764,0
99.0,1,1755,0
100.0,1,1743,0
101.0,1,1725,0
102.0,1,1710,0
103.0,1,1699,0
104.0,1,1687,0
105.0,1,1677,0
106.0,1,1660,0
107.0,1,1641,0
108.0,1,1624,0
109.0,1,1611,0
110.0,1,1594,0
111.0,1,1578,0
112.0,1,1567,0
113.0,1,1555,0
114.0,1,1537,0
115.0,1,1521,0
116.0,1,1504,0
117.0,1,1485,0
118.0,1,1469,0
119.0,1,1456,0
120.0,1,1435,0
121.0,1,1419,0
122.0,1,1389,0
123.0,1,1367,0
124.0,1,1343,0
125.0,1,1325,0
126.0,1,1304,0
127.0,1,1288,0
128.0,1,1262,0
129.0,1,1239,0
130.0,1,1212,0
131.0,1,1186,0
132.0,1,1164,0
