"tick","run","Ant Count","Tip Count"
1.0,1,2000,0
2.0,1,2000,0
3.0,1,2000,0
4.0,1,2000,0
5.0,1,2000,0
6.0,1,2000,0
7.0,1,2000,0
8.0,1,2000,0
9.0,1,2000,0
10.0,1,2000,0
11.0,1,2000,0
12.0,1,2000,0
13.0,1,2000,0
14.0,1,2000,0
15.0,1,2000,0
16.0,1,2000,0
17.0,1,2000,0
18.0,1,2000,0
19.0,1,2000,0
20.0,1,2000,0
21.0,1,2000,0
22.0,1,2000,0
23.0,1,2000,0
24.0,1,2000,0
25.0,1,1999,0
26.0,1,1999,0
27.0,1,1999,0
28.0,1,1999,0
29.0,1,1999,0
30.0,1,1998,0
31.0,1,1996,0
32.0,1,1996,0
33.0,1,1995,0
34.0,1,1994,0
35.0,1,1994,0
36.0,1,1994,0
37.0,1,1994,0
38.0,1,1994,0
39.0,1,1993,0
40.0,1,1991,0
41.0,1,1991,0
42.0,1,1990,0
43.0,1,1990,0
44.0,1,1989,0
45.0,1,1989,0
46.0,1,1989,0
47.0,1,1988,0
48.0,1,1985,0
49.0,1,1981,0
50.0,1,1980,0
51.0,1,1978,0
52.0,1,1975,0
53.0,1,1975,0
54.0,1,1973,0
55.0,1,1969,0
56.0,1,1969,0
57.0,1,1967,0
58.0,1,1964,0
59.0,1,1964,0
60.0,1,1962,0
61.0,1,1961,0
62.0,1,1959,0
63.0,1,1958,0
64.0,1,1953,0
65.0,1,1950,0
66.0,1,1948,0
67.0,1,1947,0
68.0,1,1944,0
69.0,1,1943,0
70.0,1,1941,0
71.0,1,1935,0
72.0,1,1933,0
73.0,1,1930,0
74.0,1,1926,0
75.0,1,1921,0
76.0,1,1911,0
77.0,1,1906,0
78.0,1,1900,0
79.0,1,1892,0
80.0,1,1883,0
81.0,1,1872,0
82.0,1,1866,0
83.0,1,1858,0
84.0,1,1849,0
85.0,1,1840,0
86.0,1,1835,0
87.0,1,1826,0
88.0,1,1818,0
89.0,1,1809,0
90.0,1,1802,0
91.0,1,1791,0
92.0,1,1781,0
93.0,1,1776,0
94.0,1,1767,0
95.0,1,1759,0
96.0,1,1748,0
97.0,1,1733,0
98.0,1,1726,0
99.0,1,1705,0
100.0,1,1689,0
101.0,1,1671,0
102.0,1,1660,0
103.0,1,1647,0
104.0,1,1636,0
105.0,1,1625,0
106.0,1,1611,0
107.0,1,1601,0
108.0,1,1586,0
109.0,1,1570,0
110.0,1,1558,0
111.0,1,1541,0
112.0,1,1530,0
113.0,1,1509,0
114.0,1,1490,0
115.0,1,1475,0
116.0,1,1458,0
117.0,1,1445,0
118.0,1,1432,0
119.0,1,1414,0
120.0,1,1394,0
121.0,1,1372,0
122.0,1,1352,0
123.0,1,1328,0
124.0,1,1307,0
125.0,1,1284,0
126.0,1,1265,0
127.0,1,1242,0
128.0,1,1220,0
129.0,1,1202,0
130.0,1,1185,0
131.0,1,1162,0
132.0,1,1137,0
133.0,1,1107,0
134.0,1,1083,0
135.0,1,1054,0
136.0,1,1030,0
137.0,1,997,0
138.0,1,975,0
139.0,1,950,0
140.0,1,928,0
141.0,1,908,0
142.0,1,869,0
143.0,1,851,0
144.0,1,812,0
145.0,1,770,0
146.0,1,743,0
147.0,1,719,0
148.0,1,692,0
149.0,1,668,0
150.0,1,634,0
151.0,1,609,0
152.0,1,577,0
153.0,1,553,0
154.0,1,525,0
155.0,1,508,0
156.0,1,473,0
157.0,1,449,0
158.0,1,426,0
159.0,1,404,0
160.0,1,389,0
161.0,1,363,0
162.0,1,348,0
163.0,1,325,0
164.0,1,307,0
165.0,1,293,0
166.0,1,275,0
167.0,1,264,0
168.0,1,248,0
169.0,1,232,0
170.0,1,214,0
171.0,1,206,0
172.0,1,197,0
173.0,1,183,0
174.0,1,164,0
175.0,1,152,0
176.0,1,144,0
177.0,1,129,0
178.0,1,120,0
179.0,1,111,0
180.0,1,103,0
181.0,1,95,0
182.0,1,84,0
183.0,1,77,0
184.0,1,66,0
185.0,1,57,0
186.0,1,53,0
187.0,1,48,0
