"tick","run","Ant Count","Tip Count"
1.0,1,2000,0
2.0,1,2000,0
3.0,1,2000,0
4.0,1,2000,0
5.0,1,2000,0
6.0,1,2000,0
7.0,1,2000,0
8.0,1,2000,0
9.0,1,2000,0
10.0,1,2000,0
11.0,1,2000,0
12.0,1,2000,0
13.0,1,2000,0
14.0,1,2000,0
15.0,1,2000,0
16.0,1,2000,0
17.0,1,2000,0
18.0,1,2000,0
19.0,1,2000,0
20.0,1,2000,0
21.0,1,2000,0
22.0,1,2000,0
23.0,1,2000,0
24.0,1,2000,0
25.0,1,2000,0
26.0,1,2000,0
27.0,1,1999,0
28.0,1,1999,0
29.0,1,1999,0
30.0,1,1999,0
31.0,1,1997,0
32.0,1,1997,0
33.0,1,1997,0
34.0,1,1995,0
35.0,1,1994,0
36.0,1,1994,0
37.0,1,1993,0
38.0,1,1992,0
39.0,1,1992,0
40.0,1,1992,0
41.0,1,1991,0
42.0,1,1991,0
43.0,1,1991,0
44.0,1,1991,0
45.0,1,1990,0
46.0,1,1990,0
47.0,1,1989,0
48.0,1,1988,0
49.0,1,1986,0
50.0,1,1983,0
51.0,1,1982,0
52.0,1,1981,0
53.0,1,1980,0
54.0,1,1978,0
55.0,1,1977,0
56.0,1,1976,0
57.0,1,1973,0
58.0,1,1972,0
59.0,1,1971,0
60.0,1,1967,0
61.0,1,1964,0
62.0,1,1962,0
63.0,1,1961,0
64.0,1,1957,0
65.0,1,1953,0
66.0,1,1950,0
67.0,1,1947,0
68.0,1,1946,0
69.0,1,1944,0
70.0,1,1939,0
71.0,1,1935,0
72.0,1,1933,0
73.0,1,1930,0
74.0,1,1926,0
75.0,1,1920,0
76.0,1,1916,0
77.0,1,1912,0
78.0,1,1905,0
79.0,1,1905,0
80.0,1,1899,0
81.0,1,1894,0
82.0,1,1884,0
83.0,1,1878,0
84.0,1,1871,0
85.0,1,1868,0
86.0,1,1859,0
87.0,1,1853,0
88.0,1,1844,0
