"tick","run","Ant Count","Tip Count"
1.0,1,2000,0
2.0,1,2000,0
3.0,1,2000,0
4.0,1,2000,0
5.0,1,2000,0
6.0,1,2000,0
7.0,1,2000,0
8.0,1,2000,0
9.0,1,2000,0
10.0,1,2000,0
11.0,1,2000,0
12.0,1,2000,0
13.0,1,2000,0
14.0,1,2000,0
15.0,1,2000,0
16.0,1,2000,0
17.0,1,2000,0
18.0,1,2000,0
19.0,1,2000,0
20.0,1,2000,0
21.0,1,2000,0
22.0,1,2000,0
23.0,1,2000,0
24.0,1,1999,0
25.0,1,1999,0
26.0,1,1999,0
27.0,1,1999,0
28.0,1,1999,0
29.0,1,1999,0
30.0,1,1999,0
31.0,1,1999,0
32.0,1,1998,0
33.0,1,1997,0
34.0,1,1997,0
35.0,1,1996,0
36.0,1,1995,0
37.0,1,1994,0
38.0,1,1994,0
39.0,1,1993,0
40.0,1,1991,0
41.0,1,1990,0
42.0,1,1989,0
43.0,1,1989,0
44.0,1,1988,0
45.0,1,1987,0
46.0,1,1987,0
47.0,1,1986,0
48.0,1,1982,0
49.0,1,1981,0
50.0,1,1979,0
51.0,1,1978,0
52.0,1,1978,0
53.0,1,1978,0
54.0,1,1976,0
55.0,1,1976,0
56.0,1,1973,0
57.0,1,1970,0
58.0,1,1970,0
59.0,1,1968,0
60.0,1,1964,0
61.0,1,1961,0
62.0,1,1960,0
63.0,1,1954,0
64.0,1,1951,0
65.0,1,1948,0
66.0,1,1948,0
67.0,1,1943,0
68.0,1,1940,0
69.0,1,1938,0
70.0,1,1934,0
71.0,1,1929,0
72.0,1,1922,0
73.0,1,1917,0
74.0,1,1909,0
75.0,1,1901,0
76.0,1,1897,0
77.0,1,1891,0
78.0,1,1887,0
79.0,1,1882,0
80.0,1,1878,0
81.0,1,1868,0
82.0,1,1864,0
83.0,1,1858,0
84.0,1,1848,0
85.0,1,1844,0
86.0,1,1838,0
87.0,1,1828,0
88.0,1,1819,0
89.0,1,1809,0
90.0,1,1798,0
91.0,1,1786,0
92.0,1,1778,0
93.0,1,1770,0
94.0,1,1761,0
95.0,1,1748,0
96.0,1,1739,0
97.0,1,1729,0
98.0,1,1715,0
99.0,1,1708,0
100.0,1,1693,0
101.0,1,1682,0
102.0,1,1666,0
103.0,1,1656,0
104.0,1,1639,0
105.0,1,1632,0
106.0,1,1612,0
107.0,1,1597,0
108.0,1,1576,0
109.0,1,1560,0
110.0,1,1539,0
111.0,1,1522,0
112.0,1,1504,0
113.0,1,1491,0
114.0,1,1467,0
115.0,1,1452,0
116.0,1,1432,0
117.0,1,1417,0
118.0,1,1400,0
119.0,1,1382,0
120.0,1,1364,0
121.0,1,1345,0
122.0,1,1320,0
123.0,1,1303,0
124.0,1,1278,0
125.0,1,1261,0
126.0,1,1243,0
127.0,1,1212,0
128.0,1,1188,0
129.0,1,1165,0
130.0,1,1146,0
131.0,1,1119,0
132.0,1,1093,0
133.0,1,1071,0
134.0,1,1045,0
135.0,1,1023,0
136.0,1,1000,0
137.0,1,978,0
138.0,1,961,0
139.0,1,934,0
140.0,1,907,0
141.0,1,882,0
142.0,1,852,0
143.0,1,821,0
144.0,1,793,0
145.0,1,766,0
146.0,1,742,0
147.0,1,710,0
148.0,1,684,0
149.0,1,660,0
150.0,1,629,0
151.0,1,600,0
152.0,1,577,0
153.0,1,552,0
154.0,1,524,0
155.0,1,500,0
156.0,1,479,0
157.0,1,454,0
158.0,1,427,0
159.0,1,401,0
160.0,1,371,0
161.0,1,345,0
162.0,1,329,0
163.0,1,308,0
164.0,1,289,0
165.0,1,271,0
166.0,1,248,0
167.0,1,233,0
168.0,1,222,0
169.0,1,210,0
170.0,1,193,0
171.0,1,174,0
