"tick","run","Ant Count","Tip Count"
1.0,1,2000,0
2.0,1,2000,0
3.0,1,2000,0
4.0,1,2000,0
5.0,1,2000,0
6.0,1,2000,0
7.0,1,2000,0
8.0,1,2000,0
9.0,1,2000,0
10.0,1,2000,0
11.0,1,2000,0
12.0,1,2000,0
13.0,1,2000,0
14.0,1,2000,0
15.0,1,2000,0
16.0,1,2000,0
17.0,1,2000,0
18.0,1,2000,0
19.0,1,2000,0
20.0,1,2000,0
21.0,1,2000,0
22.0,1,2000,0
23.0,1,2000,0
24.0,1,2000,0
25.0,1,2000,0
26.0,1,2000,0
27.0,1,2000,0
28.0,1,2000,0
29.0,1,2000,0
30.0,1,1998,0
31.0,1,1995,0
32.0,1,1995,0
33.0,1,1995,0
34.0,1,1995,0
35.0,1,1994,0
36.0,1,1992,0
37.0,1,1990,0
38.0,1,1990,0
39.0,1,1990,0
40.0,1,1989,0
41.0,1,1988,0
42.0,1,1988,0
43.0,1,1986,0
44.0,1,1986,0
45.0,1,1986,0
46.0,1,1986,0
47.0,1,1985,0
48.0,1,1985,0
49.0,1,1983,0
50.0,1,1982,0
51.0,1,1981,0
52.0,1,1979,0
53.0,1,1979,0
54.0,1,1977,0
55.0,1,1976,0
56.0,1,1976,0
57.0,1,1975,0
58.0,1,1972,0
59.0,1,1970,0
60.0,1,1969,0
61.0,1,1966,0
62.0,1,1963,0
63.0,1,1958,0
64.0,1,1955,0
65.0,1,1951,0
66.0,1,1951,0
67.0,1,1948,0
68.0,1,1946,0
69.0,1,1942,0
70.0,1,1941,0
71.0,1,1937,0
72.0,1,1934,0
73.0,1,1933,0
74.0,1,1930,0
75.0,1,1928,0
76.0,1,1928,0
77.0,1,1922,0
78.0,1,1919,0
79.0,1,1917,0
80.0,1,1913,0
81.0,1,1911,0
82.0,1,1907,0
83.0,1,1903,0
84.0,1,1899,0
85.0,1,1896,0
86.0,1,1894,0
87.0,1,1889,0
88.0,1,1884,0
89.0,1,1879,0
90.0,1,1873,0
91.0,1,1867,0
92.0,1,1860,0
93.0,1,1852,0
94.0,1,1843,0
95.0,1,1834,0
96.0,1,1826,0
97.0,1,1820,0
98.0,1,1810,0
99.0,1,1804,0
100.0,1,1795,0
101.0,1,1787,0
102.0,1,1774,0
103.0,1,1769,0
104.0,1,1757,0
105.0,1,1745,0
106.0,1,1731,0
107.0,1,1720,0
108.0,1,1706,0
109.0,1,1690,0
110.0,1,1673,0
111.0,1,1661,0
112.0,1,1646,0
113.0,1,1626,0
114.0,1,1611,0
115.0,1,1590,0
116.0,1,1572,0
117.0,1,1554,0
118.0,1,1536,0
119.0,1,1516,0
120.0,1,1502,0
121.0,1,1488,0
122.0,1,1463,0
123.0,1,1449,0
124.0,1,1428,0
125.0,1,1409,0
126.0,1,1392,0
127.0,1,1368,0
128.0,1,1345,0
129.0,1,1324,0
130.0,1,1300,0
131.0,1,1283,0
